UncompMagX;UncompMagY;UncompMagZ;UncompAccX;UncompAccY;UncompAccZ;UncompGyroX;UncompGyroY;UncompGyroZ;Temperature;Pressure
-00,129;+00,177;-00,147;-03,1140;-00,2930;-08,9790;-00,062790;-00,165684;-00,058567;+031,90;+101,17
-00,130;+00,181;-00,147;-03,1660;-00,3850;-09,0390;-00,051410;-00,179073;-00,048225;+031,90;+101,17
-00,129;+00,178;-00,147;-03,0010;-00,2850;-09,0930;-00,014133;-00,209526;-00,041996;+031,90;+101,17
-00,130;+00,179;-00,146;-03,3770;-00,1770;-09,2550;+00,015673;-00,213979;-00,034375;+031,90;+101,17
-00,131;+00,177;-00,144;-03,3450;-00,1480;-09,2060;+00,027684;-00,182205;-00,034161;+031,90;+101,18
-00,130;+00,179;-00,146;-03,5550;-00,2250;-09,2590;+00,033874;-00,162577;-00,034159;+031,90;+101,17
-00,131;+00,179;-00,146;-03,5200;-00,2050;-09,1960;+00,021437;-00,120833;-00,028771;+031,90;+101,17
-00,131;+00,178;-00,144;-03,5550;-00,2510;-09,2150;+00,003677;-00,083566;-00,021964;+031,90;+101,19
-00,130;+00,177;-00,145;-03,4300;-00,2190;-09,1270;-00,013880;-00,051994;-00,018661;+031,90;+101,16
-00,130;+00,177;-00,148;-03,2550;-00,1820;-08,9170;-00,002623;-00,051865;-00,018907;+031,90;+101,19
-00,130;+00,177;-00,145;-03,2050;-00,1830;-08,9490;+00,012921;-00,072894;-00,023326;+031,90;+101,17
-00,131;+00,179;-00,147;-03,1860;-00,2940;-08,9220;+00,036175;-00,104942;-00,025281;+031,90;+101,17
-00,129;+00,176;-00,145;-03,0970;-00,1910;-08,7970;+00,070189;-00,149141;-00,029650;+031,90;+101,17
-00,131;+00,179;-00,146;-03,2580;-00,3490;-08,9520;+00,096121;-00,170679;-00,029918;+031,90;+101,16
-00,131;+00,177;-00,146;-03,3920;-00,2570;-08,9860;+00,104071;-00,184095;-00,028571;+031,90;+101,16
-00,131;+00,179;-00,145;-03,5170;-00,2490;-09,0110;+00,101505;-00,172111;-00,029763;+031,90;+101,17
-00,131;+00,176;-00,145;-03,5600;-00,1260;-09,2510;+00,065098;-00,133630;-00,026425;+031,90;+101,17
-00,129;+00,176;-00,148;-03,4350;-00,3770;-09,0350;+00,041238;-00,112604;-00,020073;+031,90;+101,19
-00,130;+00,177;-00,143;-03,3910;-00,2270;-09,0550;+00,040258;-00,113260;-00,014981;+031,90;+101,16
-00,131;+00,178;-00,144;-03,5620;-00,2930;-09,0220;+00,035226;-00,090433;-00,011874;+031,90;+101,17
-00,131;+00,175;-00,145;-03,5590;-00,1660;-09,0840;+00,020834;-00,066983;-00,013207;+031,90;+101,17
-00,132;+00,178;-00,147;-03,3750;-00,1960;-08,9020;+00,013766;-00,061973;-00,016179;+031,90;+101,17
-00,131;+00,175;-00,145;-02,9510;-00,1940;-08,6420;+00,050329;-00,107207;-00,029104;+031,90;+101,17
-00,131;+00,176;-00,146;-02,9100;-00,3230;-08,6100;+00,108880;-00,203949;-00,036028;+031,90;+101,19
-00,132;+00,177;-00,146;-03,0980;-00,2200;-08,5190;+00,154245;-00,278469;-00,050080;+031,90;+101,17
-00,132;+00,175;-00,144;-02,9030;-00,2840;-08,5390;+00,219065;-00,382229;-00,069775;+031,90;+101,16
-00,131;+00,176;-00,143;-03,7710;-00,3210;-09,0990;+00,211449;-00,379194;-00,070025;+031,90;+101,19
-00,133;+00,176;-00,143;-03,5400;-00,1570;-08,9020;+00,201451;-00,326829;-00,075824;+031,90;+101,17
-00,133;+00,175;-00,143;-03,5670;-00,2330;-08,9090;+00,200633;-00,322685;-00,082390;+031,90;+101,16
-00,132;+00,175;-00,145;-03,8320;-00,2950;-09,0660;+00,170035;-00,297263;-00,084352;+031,90;+101,16
-00,133;+00,176;-00,142;-03,3930;-00,4150;-08,7400;+00,151169;-00,313800;-00,078548;+031,90;+101,17
-00,135;+00,175;-00,143;-03,1000;-00,4680;-08,5490;+00,159315;-00,374504;-00,075577;+031,90;+101,17
